stock_code,cap,close,listdays,surplus_sum,np_parcomsh_chg,profi_style,ipo_lessoneyear,is_div_stock
002275.SZ,590200000.0,13.6,544.0,2.273301215570993,0.11956333188468224,0,0,0
002277.SZ,349200000.0,19.66,539.0,4.3848556412084765,0.3961894140650365,0,0,0
002279.SZ,109872066.0,17.0,522.0,4.415840499713549,0.42318436801138853,0,0,0
002283.SZ,559411764.0,13.18,514.0,4.172721548648019,0.2031418500367685,0,0,0
002286.SZ,104000000.0,18.07,509.0,6.236457330384615,0.4280621668853762,0,0,0
002292.SZ,409600000.0,17.3,500.0,2.265247751733398,0.15410908595636946,0,0,0
002293.SZ,140363100.0,83.0,500.0,10.097881661633291,0.960320876709225,1,0,0
002294.SZ,363200000.0,32.17,500.0,4.543093534085903,0.125779846241772,0,0,0
002296.SZ,177735000.0,26.0,487.0,2.4999696899879034,0.24225615354040805,0,0,0
002297.SZ,214000000.0,18.24,487.0,1.727813213271028,0.2847337409920205,0,0,0
002298.SZ,165000000.0,13.15,487.0,2.210092928242424,0.8259412562211095,1,0,1
002299.SZ,910900000.0,15.55,477.0,2.8039978463936763,1.074729060361977,1,0,0
002301.SZ,191689999.0,13.26,477.0,4.497270068064427,0.3882764692082968,0,0,1
002304.SZ,900000000.0,136.0,465.0,8.76167769091111,0.8988032321308956,1,0,0
002306.SZ,200000000.0,16.65,462.0,5.03010285595,0.3063488269516698,0,0,1
002308.SZ,641400000.0,10.78,450.0,1.7189753655441222,0.2148217004540899,0,0,0
002309.SZ,240300000.0,23.62,450.0,9.08498671198502,0.2002980817815175,0,0,1
002310.SZ,150243900.0,89.5,450.0,10.39830795187026,0.966477751648959,1,0,0
002311.SZ,582400000.0,16.45,450.0,3.2152998820226646,0.5986754651582847,1,0,0
002313.SZ,100000000.0,42.37,446.0,9.0410294075,0.5151278566328473,1,0,1
002315.SZ,117500000.0,43.2,442.0,12.419836281021276,0.28464118606637023,0,0,0
002317.SZ,180000000.0,22.4,440.0,7.0070748505000005,0.16841237585021684,0,0,0
002318.SZ,208000000.0,15.63,440.0,5.984204201778846,0.6660983925767144,1,0,0
002320.SZ,327600000.0,13.6,437.0,4.612261017429793,0.11498744420288888,0,0,0
002321.SZ,147000000.0,17.64,437.0,5.685033264013605,1.031149050717772,1,0,1
002322.SZ,66700000.0,46.28,435.0,12.343113347676162,0.11655350983246232,0,0,1
002325.SZ,230250000.0,20.2,433.0,4.494409109967426,0.6014000028137237,1,0,1
002326.SZ,240300000.0,24.0,433.0,2.8909392730753223,0.22475776126855695,0,0,0
002327.SZ,133900000.0,47.08,427.0,7.660281419716206,0.8677283383843849,1,0,0
002332.SZ,341400000.0,12.06,419.0,2.181790904715876,0.12831765242286708,0,0,0
002333.SZ,250880000.0,10.75,419.0,3.8931151672512754,0.35393290400859323,0,0,0
002334.SZ,121600000.0,43.58,418.0,8.033215216858553,0.10769687741671148,0,0,0
002335.SZ,156000000.0,19.15,418.0,4.24652010801282,0.2523718028938272,0,0,0
002340.SZ,242632000.0,22.24,411.0,3.668117901595832,0.4262318124175766,0,0,1
002341.SZ,146400000.0,19.6,411.0,3.407489280122951,0.7092478123101053,1,0,1
002344.SZ,560000000.0,23.59,409.0,2.8773536315714283,1.1256533432549956,1,0,0
002345.SZ,180000000.0,26.7,407.0,6.569009743944444,0.4882025194041603,0,0,0
002346.SZ,135000000.0,15.65,407.0,5.8871279411851845,0.7897583025880395,1,0,0
002347.SZ,104000000.0,17.08,407.0,6.9578713760576925,0.3221742191055689,0,0,0
002349.SZ,100000000.0,23.18,403.0,4.7529366390000005,0.2264926223314107,0,0,1
002350.SZ,128400000.0,18.36,403.0,5.998898518925234,0.6764420625448873,1,0,0
002352.SZ,77830780.0,21.5,401.0,8.098888522638472,0.38268983802710194,0,0,0
002353.SZ,229636000.0,64.5,401.0,9.639258698723197,0.5067883202429063,1,0,1
002355.SZ,210400000.0,12.75,399.0,4.787269213640684,0.23653104230975416,0,0,0
002358.SZ,172000000.0,19.36,398.0,4.419804014069768,0.6815041818966224,1,0,1
002360.SZ,120000000.0,13.97,388.0,3.9561018146666673,0.2961984969613928,0,0,0
002363.SZ,120000000.0,14.55,386.0,6.242085797833333,0.2586983640774358,0,0,0
002364.SZ,100200000.0,14.0,386.0,4.7828954785429145,0.16096407383753483,0,0,0
002365.SZ,187000000.0,12.5,386.0,4.570249432620321,0.532929291755299,1,0,0
002367.SZ,240300000.0,13.5,381.0,4.969366756013316,0.2108791405706797,0,0,0
002368.SZ,197578400.0,19.0,381.0,4.1270155869771195,0.3095622183889991,0,0,0
002369.SZ,200000000.0,16.42,379.0,2.6944741398999996,0.4211075458175574,1,0,0
002370.SZ,204000000.0,10.19,379.0,2.6217894236764705,0.1687493107955408,0,0,0
002371.SZ,84500000.0,58.0,379.0,10.770873851597631,0.6830126834652801,1,0,0
002372.SZ,253400000.0,17.85,377.0,5.615144777663772,0.330174770111666,0,0,0
002375.SZ,422000000.0,29.48,374.0,5.293210712511849,0.7187961471651172,1,0,0
002376.SZ,300000000.0,18.8,374.0,2.9705801276666666,0.5362997359133781,1,0,0
002378.SZ,428213646.0,25.46,368.0,2.212709867050804,1.5278797191899176,1,0,0
002385.SZ,400800000.0,34.29,362.0,7.219445472529939,0.5972219667811731,1,0,1
002387.SZ,240300000.0,15.08,360.0,4.343184167915107,0.16031973117562828,0,0,0
002389.SZ,134000000.0,24.5,360.0,4.787821261044776,0.7809505836003787,1,0,0
002393.SZ,182454991.99999997,36.1,352.0,14.068892563432852,0.5704817268348468,1,0,0
002394.SZ,215800000.0,15.23,352.0,8.174356678776645,0.49646706936221224,0,0,0
002396.SZ,351060000.0,12.39,313.0,3.6909718285478266,0.16700073035551535,0,0,0
002397.SZ,151200000.0,28.39,348.0,5.893166924272486,0.431678649217449,0,0,0
002398.SZ,156000000.0,20.12,344.0,6.66982599525641,1.4759690429327887,1,0,0
002400.SZ,148269159.0,19.41,344.0,6.240180125524283,0.3607516134932108,0,0,0
002404.SZ,173550000.0,11.31,341.0,5.512984004955344,0.15616046266215391,0,0,0
002405.SZ,480275494.00000006,23.34,336.0,3.686965999935029,0.2906891897828261,0,0,0
002408.SZ,467208000.0,27.4,336.0,5.153405191798942,0.7431516996719234,1,0,0
002410.SZ,270000000.0,34.31,331.0,5.651668218962963,0.6030837453506447,1,0,0
002411.SZ,232200000.0,12.25,331.0,2.234604322179156,0.44227945601476687,0,0,0
002415.SZ,1000000000.0,39.74,328.0,5.195917737669999,0.325794459663791,0,0,1
002417.SZ,180000000.0,13.6,326.0,3.6521560963333335,0.325818037985086,0,0,0
002419.SZ,800200000.0,21.2,326.0,3.3874008103224194,0.32862551381549393,0,0,0
002421.SZ,101400000.0,16.78,324.0,4.833873768836292,0.4170360370979177,0,0,0
002422.SZ,480000000.0,58.51,324.0,14.74615733125,0.5214895864095159,1,0,0
002424.SZ,470400000.0,15.89,324.0,2.893944967984694,0.5565834771678662,1,0,0
002425.SZ,214000000.0,11.58,321.0,3.186008652663552,0.10321065817831204,0,0,0
002428.SZ,163280000.0,37.52,321.0,6.816889009064184,0.2486645369041156,0,0,1
002430.SZ,601500000.0,23.2,319.0,3.4300557152950955,0.4454395479166312,0,0,0
002431.SZ,384000000.0,31.9,319.0,3.75509119875,0.7689720284333328,1,0,0
002433.SZ,100000000.0,21.76,316.0,8.6784495269,0.3128201786191067,0,0,0
002435.SZ,132000000.0,11.73,316.0,4.723551742348485,0.24860529254633013,0,0,0
002436.SZ,223400000.0,17.9,316.0,5.541307575604296,0.17373031021306132,0,0,0
002438.SZ,104000000.0,24.5,313.0,6.406366176442308,0.1498084302974654,0,0,1
002440.SZ,383500000.0,20.38,304.0,8.889440282346806,0.344874859080012,0,0,0
002441.SZ,232000000.0,17.82,304.0,6.691673478577586,0.2974138236969165,0,0,0
002447.SZ,134000000.0,28.06,299.0,4.587316803582089,0.1888850622895914,0,0,0
002448.SZ,92510461.0,28.5,296.0,9.500941975416165,0.1968920190925769,0,0,0
002450.SZ,323200000.0,21.32,296.0,2.051905497091584,0.8060299803626028,1,0,0
002452.SZ,100000000.0,18.02,294.0,8.9191787834,0.18288177629187605,0,0,0
002453.SZ,120000000.0,26.59,294.0,5.081247491666667,0.4032627964885814,0,0,0
002458.SZ,140400000.0,27.4,279.0,6.494579982407407,4.118713386588182,1,0,1
002460.SZ,150000000.0,26.06,279.0,3.718753107,0.3751586427329122,0,0,0
002466.SZ,147000000.0,34.48,264.0,5.641249680544218,0.10242630691972324,0,0,0
002467.SZ,120000000.0,21.07,258.0,7.872292167416665,0.15505206692104773,0,0,1
002469.SZ,112614895.0,35.55,258.0,5.483563420718014,0.38251327759393783,0,0,0
002470.SZ,700000000.0,16.37,258.0,3.352961752514285,0.5257746616420732,1,0,0
002471.SZ,208000000.0,13.7,256.0,3.0650330128846153,0.2759238509363368,0,0,0
002472.SZ,213840000.0,15.57,256.0,5.148231117891881,0.22173823808789012,0,0,0
002474.SZ,103700000.0,35.57,253.0,10.386691608871743,0.5610614202954093,1,0,1
002475.SZ,260700000.0,36.49,253.0,5.819739579439969,1.6062111467889817,1,0,0
002476.SZ,180000000.0,15.04,253.0,4.078821175888889,0.36520277393289746,0,0,1
002477.SZ,267000000.0,28.43,253.0,5.838951803520599,3.212963166828705,1,0,1
002478.SZ,400100000.0,12.74,249.0,4.74812738740315,0.16568254147868494,0,0,0
002479.SZ,428000000.0,15.78,249.0,3.333655558084112,0.36714525129689934,0,0,0
002480.SZ,280000000.0,17.31,249.0,6.074219955464286,0.7598741594216558,1,0,0
002481.SZ,120000000.0,24.47,249.0,5.510325391583334,0.46641509266979814,0,0,0
002482.SZ,320000000.0,25.2,246.0,7.366279227531249,0.29127700061418943,0,0,0
002484.SZ,160000000.0,22.58,246.0,6.809315478437501,0.3525176558144949,0,0,0
002485.SZ,200000000.0,19.79,239.0,8.2668927085,0.5073927817565227,0,1,0
002486.SZ,208000000.0,10.25,239.0,3.464363048028846,0.22600120533638823,0,1,0
002488.SZ,180000000.0,10.36,235.0,3.9193756407777767,0.29879766542824915,0,1,0
002491.SZ,267800000.0,15.36,235.0,4.597037538274832,0.20301519758641137,0,1,0
002492.SZ,120000000.0,14.29,227.0,5.233520350999999,0.13613203276148172,0,1,0
002493.SZ,1112000000.0,23.72,227.0,5.290110396025179,0.5185821838572802,1,1,0
002494.SZ,113500000.0,18.33,227.0,6.903401597709251,0.16410368362271546,0,1,0
002497.SZ,320000000.0,18.6,222.0,4.387897522843749,0.2515617610757764,0,1,0
002501.SZ,187200000.0,20.23,216.0,5.560328742307693,0.6647262163348444,1,1,0
002502.SZ,88000000.0,20.21,216.0,8.550898196590909,0.1737450231399132,0,1,0
002503.SZ,160000000.0,32.05,216.0,9.7645872741875,0.715786642971566,1,1,0
