stock_code,cap,close,listdays,surplus_sum,np_parcomsh_chg,profi_style,ipo_lessoneyear,is_div_stock
000333.SZ,1686323389.0,43.24,6.0,18.127750056368345,0.5708807422100112,0,1,1
002489.SZ,478183847.0,11.11,715.0,5.534012293685863,0.5297764874746415,0,0,0
002491.SZ,275330000.0,14.94,715.0,5.4837194612646645,0.2840920368523915,0,0,0
002496.SZ,245047500.0,13.29,702.0,6.4095951594282745,0.4034898735062164,0,0,0
002501.SZ,468000000.0,12.65,696.0,5.425798326367522,0.32550826439505226,0,0,0
002503.SZ,432000000.0,11.67,696.0,3.716673609259259,0.16218701118877404,0,0,0
002507.SZ,155000000.0,39.98,692.0,5.620113670774193,0.22841940729401672,0,0,0
002508.SZ,256000000.0,36.4,692.0,6.363565433125,0.4501747190343504,0,0,0
002518.SZ,207000000.0,13.66,682.0,5.51941745821256,0.2422750219234023,0,0,0
002527.SZ,351699487.0,10.96,669.0,3.2067670049515877,0.18943258671466293,0,0,0
002528.SZ,353709000.0,12.55,669.0,5.123630665151297,3.811413572181213,0,0,0
002532.SZ,160000000.0,18.25,664.0,5.1741223093125,0.4753937200754847,0,0,1
002542.SZ,200400000.0,12.57,645.0,3.128394498103793,0.10386049289639386,0,0,1
002543.SZ,400000000.0,11.6,645.0,5.14231904535,0.16093851583133917,0,0,0
002544.SZ,343840000.0,11.15,645.0,1.9745515558399256,0.10560855419534972,0,0,0
002547.SZ,284000000.0,10.35,635.0,1.7682911575352112,1.6151586973729557,1,0,0
002549.SZ,270000000.0,14.07,635.0,1.8890637211851853,0.5187309835324073,1,0,0
002550.SZ,160000000.0,33.15,635.0,10.79159188775,0.2292840429076492,0,0,1
002551.SZ,276750000.0,24.38,630.0,3.482097345004517,0.3000269926482993,0,0,0
002553.SZ,87000000.0,16.03,630.0,5.731533917471264,0.16586149488538984,0,0,1
002554.SZ,455625000.0,12.48,630.0,1.8006544666995885,0.5931407265512498,0,0,0
002563.SZ,670000000.0,25.33,620.0,10.537648726119404,0.16475595976553528,0,0,0
002564.SZ,369856000.0,12.44,621.0,6.51900421180135,0.1144956217976262,0,0,1
002565.SZ,348370000.0,14.69,615.0,4.097639750667394,0.3051276135172099,0,0,1
