stock_code,cap,close,listdays,surplus_sum,np_parcomsh_chg,profi_style,ipo_lessoneyear,is_div_stock
002705.SZ,574601560.0,16.2,659.0,3.434590969384072,0.4724092128349824,0,0,0
002706.SZ,258846960.0,27.35,659.0,4.822254145731516,0.23426614966078033,0,0,1
002707.SZ,843955880.0,19.05,657.0,1.2374559714424882,0.2336642579480098,0,0,0
002708.SZ,469469960.0,13.3,659.0,2.2377119922220365,0.3122799602845119,0,0,0
002709.SZ,325359605.0,46.88,657.0,3.670207446065716,5.310201288401583,1,0,0
002711.SZ,660044000.0,13.87,655.0,1.2245756097320788,0.6558932679547104,1,0,0
002712.SZ,286085730.0,33.56,657.0,4.333339293574692,0.7023002684147824,1,0,0
002713.SZ,253858052.0,24.35,643.0,2.6694912339436057,1.5753815074846311,0,0,0
002714.SZ,1033746218.0,24.43,654.0,3.934946514019556,5.315237569084003,1,0,0
002715.SZ,92000000.0,30.06,643.0,3.857107088695652,0.7847745541091501,0,0,0
002716.SZ,503290616.0,23.46,654.0,3.032799648642764,0.256375919086208,0,0,0
002717.SZ,401216407.00000006,29.39,643.0,4.9793916296149865,0.4759502541301129,0,0,0
002718.SZ,87631886.0,80.09,654.0,10.325982902045496,0.11422358532490032,0,0,0
002722.SZ,175466542.0,46.96,654.0,8.335736952005357,1.2540832788023952,1,0,0
002724.SZ,400000000.0,21.74,469.0,2.849827282325,3.6892008486174057,0,0,0
002726.SZ,445160000.0,16.32,556.0,2.97242845475784,1.216851148357279,1,0,0
002727.SZ,520600000.0,21.99,552.0,3.6613948169611983,0.12939959620872868,0,0,0
002732.SZ,157350000.0,29.56,446.0,4.311692964474103,0.1124703158078,0,0,0
002734.SZ,132605000.0,33.96,411.0,5.3690497055163835,0.9312102774866634,1,0,0
002735.SZ,80000000.0,41.19,448.0,4.923397385874999,0.29286072672050156,0,0,0
002738.SZ,186915000.0,24.37,429.0,3.2676018432442553,0.11420608808992078,0,0,0
002739.SZ,1174294974.0,67.28,414.0,7.430614019650909,0.22167918402066955,0,0,0
002741.SZ,360000000.0,20.74,397.0,1.1574520713055556,0.12665354447707625,0,0,0
002743.SZ,331960880.00000006,15.38,396.0,4.76339880313608,0.8975603721160285,1,0,0
002745.SZ,528327918.0,36.49,396.0,8.633649510075672,0.26180320618606895,0,0,0
002746.SZ,181840201.00000003,42.36,397.0,9.924763491105026,11.478566690667764,1,0,0
002747.SZ,275888135.0,33.68,378.0,4.301659595509608,0.9829335438723386,1,0,1
002748.SZ,240000000.0,19.0,379.0,3.193841912916666,2.127989441353106,1,0,0
002752.SZ,630000000.0,16.85,356.0,1.3796200514603174,0.4973304062239084,1,0,0
002753.SZ,148050000.0,27.27,338.0,4.964639385545423,0.16373365284280283,0,0,0
002765.SZ,208000000.0,26.24,320.0,3.878265172307693,0.7604702450818271,1,0,1
002768.SZ,240000000.0,26.34,309.0,2.246115689208333,0.6706438232651079,0,0,0
002769.SZ,376707385.0,24.83,310.0,2.208417064613692,0.21438993908351608,1,0,0
002772.SZ,373330706.99999994,21.46,311.0,5.268620855155107,0.7825230498272718,1,0,0
002773.SZ,674784060.0,48.8,311.0,3.36498521861942,0.24673507012653745,0,0,0
002775.SZ,248000000.0,25.66,310.0,4.082445264677419,0.4912908227810048,1,0,0
002777.SZ,80000000.0,92.69,184.0,4.193687698625,0.1464503643573751,0,1,0
002783.SZ,83470000.0,93.31,200.0,13.852722109380617,0.227729883313275,0,1,1
002785.SZ,200000000.0,24.57,190.0,2.2142458126,0.13993555348290812,0,1,0
002786.SZ,381240000.0,21.9,190.0,1.661272972746826,0.5119309753752045,1,1,0
002787.SZ,140800000.0,46.96,184.0,5.607310485582387,0.4899514425506962,1,1,1
002790.SZ,160000000.0,42.03,142.0,7.148178710562499,0.11594935908283374,0,1,0
002791.SZ,214360000.0,48.94,127.0,10.247611959880576,0.2986039023658448,0,1,0
300357.SZ,161600000.0,36.04,659.0,2.8918717848391085,0.12392787354573628,0,0,0
300358.SZ,446374371.0,19.4,659.0,3.091362583471442,0.10477068638188404,0,0,0
300359.SZ,633772477.0,26.85,659.0,2.081780438281797,0.2778856509509542,0,0,0
300360.SZ,362677500.0,20.48,659.0,2.464162487361361,0.11896132697622731,0,0,0
300362.SZ,425616890.0,20.3,659.0,3.1273794558998818,1.6405572156729693,1,0,0
300363.SZ,425102163.0,22.57,653.0,1.980464010271338,0.4490774714831175,0,0,0
300364.SZ,284482033.0,46.21,415.0,8.106775964055347,0.10570519627129926,0,0,1
300365.SZ,175939000.0,45.7,657.0,2.7964004948305945,0.5969277264487698,1,0,0
300366.SZ,222024154.00000003,36.33,655.0,5.077924813216493,0.2628477424682265,0,0,1
300367.SZ,806346227.0000001,24.27,653.0,1.6315102975858533,0.6073362757023304,1,0,0
300369.SZ,364072005.0,37.48,653.0,3.916892031069513,2.063029583330698,0,0,0
300370.SZ,578884120.0,10.58,657.0,1.061181854081608,0.31833697595428395,1,0,0
300373.SZ,472490843.0,22.55,657.0,3.2584320287028294,0.4636400353449878,0,0,0
300375.SZ,185834188.0,23.11,655.0,5.5691145433906915,0.15749380916243852,0,0,0
300376.SZ,575958639.0,26.6,655.0,5.015591256440899,0.4448745794705049,1,0,1
300377.SZ,297013332.0,37.76,655.0,7.508208185382062,2.009526208377995,1,0,1
300379.SZ,138072644.0,69.97,654.0,11.211934544615511,1.554636596749048,1,0,1
300383.SZ,723175693.9999999,33.99,653.0,7.184789713106702,1.8455139304173964,1,0,1
300385.SZ,120000000.0,36.43,556.0,5.058185427916667,0.1190991457991717,0,0,0
300387.SZ,124680000.0,31.48,552.0,4.06631884985563,0.35553057904476776,1,0,0
300388.SZ,304100267.0,23.83,530.0,4.193326634928605,0.8396344498954031,1,0,0
300389.SZ,319462232.0,23.75,530.0,1.8895763961543977,0.18089576036305524,0,0,0
300391.SZ,166675000.0,28.38,530.0,1.1728961999100045,0.4609719181831972,1,0,0
300393.SZ,179235000.0,39.69,501.0,4.1423087143694035,0.7956247760924648,1,0,0
300394.SZ,185850000.0,40.13,396.0,2.898458355071294,0.2650712084299927,0,0,0
300395.SZ,196800000.0,25.0,503.0,3.05130220523374,0.15864105981680157,0,0,0
300396.SZ,153350000.0,46.52,503.0,5.889499904727747,0.17429068225192154,0,0,0
300399.SZ,152000000.0,34.86,487.0,1.9491763868421057,0.2808145034531342,0,0,0
300400.SZ,120000000.0,39.07,486.0,2.3952859849999997,0.14593557882350486,0,0,1
300401.SZ,181400000.0,30.01,487.0,3.0569416331863284,1.8802197875008655,1,0,0
300403.SZ,134000000.0,67.36,472.0,8.729734026119402,0.36145804533719467,0,0,1
300405.SZ,78153587.0,47.55,472.0,10.651732056776869,1.9669666548338225,0,0,0
300406.SZ,499891806.0,23.53,472.0,1.648725524298752,0.12775577261967008,0,0,0
300407.SZ,272000000.0,17.38,448.0,2.216232692242647,0.8101802554201126,1,0,0
300408.SZ,1727636000.0,18.53,448.0,1.8355276211887224,0.20704160530354104,0,0,0
300409.SZ,215000000.0,43.11,448.0,4.361417456744186,0.6572444294667331,1,0,0
300410.SZ,181120830.0,42.75,428.0,5.406761213715727,0.6428680969272502,1,0,0
300412.SZ,127480000.0,34.98,428.0,4.678385631863822,0.1237518491057597,0,0,1
300415.SZ,240000000.0,17.26,413.0,2.329566571833334,0.4021821178569659,0,0,0
300416.SZ,125600000.0,37.85,414.0,2.6799912875796172,0.18617958630145007,0,0,0
300418.SZ,1127152504.0,25.67,415.0,2.0432540739669065,0.8788749227623873,1,0,0
300419.SZ,183876885.0,32.69,414.0,6.827658853096191,0.3038017572811472,0,0,1
300420.SZ,242615517.0,25.3,396.0,3.5237876220011106,2.0656041015035407,1,0,1
300422.SZ,127285000.0,38.33,396.0,6.858209543544016,0.5676098452258443,1,0,1
300425.SZ,176621269.0,33.07,397.0,5.173596703690313,0.10946696457135868,0,0,0
300432.SZ,360000000.0,26.12,379.0,1.7528108040000003,0.2541940659310918,0,0,0
300438.SZ,252000000.0,31.93,354.0,2.565751206031746,0.6535253301504361,1,0,0
300439.SZ,347627000.0,32.4,356.0,3.3111142133666256,0.2545458155903603,0,0,0
300440.SZ,224000000.0,34.31,355.0,4.4822245253125,0.15503623452366608,0,0,1
300441.SZ,348511161.0,26.11,355.0,1.8432886698856683,1.0689506974924343,1,0,0
300443.SZ,119028401.0,60.92,356.0,11.066850233752197,0.27980734811495245,0,0,1
300444.SZ,283391200.0,28.68,355.0,2.1561800405940623,0.5810911276575036,1,0,0
300447.SZ,162000000.0,46.16,356.0,2.906998814197531,0.5306456323071427,1,0,0
300448.SZ,202202242.0,27.55,354.0,2.09681970390813,0.2986255335045069,0,0,0
300452.SZ,92800000.0,48.55,340.0,3.201416149676724,0.16443987134377033,0,0,0
300455.SZ,280000000.0,22.52,340.0,1.1956947639999995,0.16863399990411626,0,0,0
300457.SZ,117000000.0,62.0,341.0,4.1141257985470086,0.8312348675455596,1,0,0
300458.SZ,161611000.0,80.05,340.0,11.91288322174852,0.41188593201936896,0,0,1
300462.SZ,137760000.0,32.29,332.0,2.941618157447735,0.5454319427228578,0,0,0
300463.SZ,558000000.0,26.89,331.0,2.9214416146236557,0.26792839677516994,0,0,0
300464.SZ,209308750.0,18.4,322.0,1.4607999640244378,0.38018244881565005,0,0,0
300466.SZ,296855618.0,29.86,331.0,2.6369757966312095,0.4126017689198314,0,0,0
300468.SZ,103921500.0,60.06,332.0,7.68060721939156,0.17719790967630272,0,0,0
300469.SZ,68300000.0,87.11,321.0,5.12412033909224,1.5665297661655606,0,0,0
300470.SZ,106680000.0,41.97,320.0,6.983074617079115,0.1622948056077787,0,0,0
300476.SZ,373900000.0,23.59,321.0,2.81080725062851,0.7047004706134128,1,0,0
300482.SZ,176000000.0,60.28,309.0,3.6495138882954543,0.3773781509348972,0,0,0
300484.SZ,104000000.0,91.37,132.0,4.38717583298077,1.7421983087567714,1,1,1
300485.SZ,240000000.0,44.5,311.0,7.4983973192916675,0.2916664394386738,0,0,0
300487.SZ,80957500.0,51.22,307.0,7.9616123767408835,0.1740748804420213,0,0,1
300493.SZ,120000000.0,52.55,199.0,2.7839713219166664,0.21130310121830304,0,1,1
300494.SZ,240000000.0,36.98,184.0,2.606834357916666,0.28671145869938586,0,1,0
300495.SZ,203771000.0,44.68,191.0,4.835936290983506,0.25926731038346795,0,1,1
300500.SZ,61500000.0,97.22,160.0,10.428535976260164,0.38506186955674593,0,1,1
300528.SZ,310506712.0,35.57,37.0,4.81510308054146,0.1647909085698182,0,1,0
601069.SH,636000000.0,23.69,414.0,1.608578071918239,0.7883858443607455,1,0,0
601689.SH,649100000.0,28.12,379.0,3.8986143228470183,0.445057568612681,0,0,0
603006.SH,192917586.0,25.67,554.0,3.3390206706712577,1.6668876896378924,0,0,0
603009.SH,131064557.0,41.47,540.0,8.527615833012735,0.21487218844701728,0,0,1
603010.SH,254391982.0,25.71,486.0,2.9777188225610036,0.8277300024713293,0,0,0
603011.SH,446198794.0,13.5,466.0,2.7230752650577537,1.0966699206125168,1,0,0
603017.SH,275373728.0,23.55,428.0,4.61223833088391,0.4100006913168016,0,0,0
603018.SH,208000000.0,33.0,485.0,7.7322328309134605,0.3141717808599164,0,0,0
603019.SH,643023970.0,32.19,467.0,3.2542564977787687,0.5930090953529908,0,0,0
603021.SH,123056950.0,44.63,355.0,9.953907327298458,0.14022859764437157,0,0,1
603022.SH,200000000.0,21.44,339.0,1.88846605425,0.32710156220587805,0,0,0
603026.SH,202680000.0,41.59,330.0,5.871287192421551,2.0221183551192756,0,0,0
603066.SH,100710000.0,51.65,321.0,6.7755873447522585,0.48630602887798713,0,0,1
603108.SH,282378948.0,33.12,332.0,2.505839785407799,0.3791858869490873,0,0,0
603117.SH,462320932.0,16.74,310.0,3.782207761512299,0.27198930056444726,0,0,0
603118.SH,355619060.0,38.87,395.0,11.034496505642863,0.4320371078168134,0,0,1
603126.SH,610500000.0,11.5,531.0,1.3458794858312857,0.534661754191608,1,0,0
603158.SH,218366000.0,22.28,378.0,3.0385022548382077,0.1909498850598426,0,0,0
603166.SH,592018710.0,19.12,452.0,2.460640782484729,0.6576677642799423,0,0,0
603168.SH,163375000.0,40.87,552.0,5.39641221710788,0.625358094389712,1,0,0
603198.SH,800000000.0,23.52,331.0,3.6537567548625,0.21347594988148183,0,0,0
603223.SH,120000000.0,35.69,309.0,4.1460561485,0.892815648135496,0,0,0
603306.SH,213900000.0,34.04,491.0,4.785880348480598,0.695528266816746,0,0,0
